Países;Sexo;Periodo;Total
Países Bajos;Mujeres;2018;52,1
Países Bajos;Mujeres;2017;52,3
Países Bajos;Mujeres;2016;51,9
Países Bajos;Mujeres;2015;52,4
Países Bajos;Mujeres;2014;51,4
Austria;Hombres;2020;46,3
Austria;Hombres;2019;46,7
Austria;Hombres;2018;47,1
Austria;Hombres;2017;47,1
Austria;Hombres;2016;47
Austria;Hombres;2015;46,8
Austria;Hombres;2014;46,7
Austria;Mujeres;2020;53,7
Austria;Mujeres;2019;53,3
Austria;Mujeres;2018;52,9
Austria;Mujeres;2017;52,9
Austria;Mujeres;2016;53
Austria;Mujeres;2015;53,2
Austria;Mujeres;2014;53,3
Polonia;Hombres;2020;41
Polonia;Hombres;2019;40,5
Polonia;Hombres;2018;40,7
Polonia;Hombres;2017;41
Polonia;Hombres;2016;41
Polonia;Hombres;2015;41
Polonia;Hombres;2014;40,6
Polonia;Mujeres;2020;59
Polonia;Mujeres;2019;59,5
Polonia;Mujeres;2018;59,3
Polonia;Mujeres;2017;59
Polonia;Mujeres;2016;59
Polonia;Mujeres;2015;59
Polonia;Mujeres;2014;59,4
Portugal;Hombres;2020;46,2
Portugal;Hombres;2019;46,2
Portugal;Hombres;2018;46,5
Portugal;Hombres;2017;46,8
Portugal;Hombres;2016;46,9
Portugal;Hombres;2015;46,7
Portugal;Hombres;2014;46,5
Portugal;Mujeres;2020;53,8
Portugal;Mujeres;2019;53,8
Portugal;Mujeres;2018;53,5
Portugal;Mujeres;2017;53,2
Portugal;Mujeres;2016;53,1
Portugal;Mujeres;2015;53,3
Portugal;Mujeres;2014;53,5
Rumanía;Hombres;2020;45,4
Rumanía;Hombres;2019;45,5
Rumanía;Hombres;2018;45,8
Rumanía;Hombres;2017;46,1
Rumanía;Hombres;2016;46,1
Rumanía;Hombres;2015;46,3
Rumanía;Hombres;2014;46,2
Rumanía;Mujeres;2020;54,6
Rumanía;Mujeres;2019;54,5
Rumanía;Mujeres;2018;54,2
Rumanía;Mujeres;2017;53,9
Rumanía;Mujeres;2016;53,9
Rumanía;Mujeres;2015;53,7
Rumanía;Mujeres;2014;53,8
Eslovenia;Hombres;2020;42,7
Eslovenia;Hombres;2019;42,4
Eslovenia;Hombres;2018;42,5
Eslovenia;Hombres;2017;42,5
Eslovenia;Hombres;2016;42,4
Eslovenia;Hombres;2015;41,8
Eslovenia;Hombres;2014;41,7
Eslovenia;Mujeres;2020;57,3
Eslovenia;Mujeres;2019;57,6
Eslovenia;Mujeres;2018;57,5
